customer_code,gross_sales_mln,net_invoice_sales
90018105,0.37,0.30
90018113,0.37,0.30
90025209,0.37,0.28
70005163,0.31,0.24
90005160,0.31,0.22
70026206,0.29,0.21
90005159,0.29,0.23
90005162,0.29,0.23
90026205,0.29,0.22
70010048,0.28,0.22
90005161,0.28,0.23
90010044,0.28,0.20
70010047,0.27,0.25
80001019,0.27,0.19
90011192,0.27,0.20
90010045,0.26,0.19
90010046,0.26,0.19
70011194,0.25,0.20
90011187,0.25,0.18
90011188,0.25,0.19
90011189,0.25,0.18
90011191,0.25,0.19
70011193,0.24,0.23
90011185,0.24,0.17
90011186,0.24,0.19
90011190,0.24,0.17
70027208,0.20,0.16
90006156,0.20,0.15
90027207,0.20,0.14
70006158,0.18,0.15
90006153,0.18,0.13
90017056,0.18,0.13
70006157,0.17,0.15
70017060,0.17,0.13
90017049,0.17,0.13
90017051,0.17,0.13
90017052,0.17,0.13
90017054,0.17,0.12
90017055,0.17,0.13
90017059,0.17,0.12
90017050,0.16,0.11
90017053,0.16,0.11
90017057,0.16,0.13
90017058,0.16,0.12
90023023,0.15,0.11
90016171,0.14,0.10
90016172,0.14,0.10
90016175,0.14,0.11
90016176,0.14,0.11
70016177,0.13,0.12
70016178,0.13,0.10
90016173,0.13,0.10
90016174,0.13,0.09
70019204,0.12,0.10
90024184,0.12,0.09
90019203,0.11,0.08
70023032,0.10,0.07
90023024,0.10,0.08
90023028,0.10,0.08
70023031,0.09,0.08
90023022,0.09,0.07
90023025,0.09,0.06
90023026,0.09,0.06
90023027,0.09,0.07
90023029,0.09,0.07
90014139,0.08,0.06
90014140,0.08,0.06
90023030,0.08,0.06
70014143,0.07,0.05
90014135,0.07,0.05
90014136,0.07,0.05
90014137,0.07,0.05
90014138,0.07,0.05
90014141,0.07,0.05
90019200,0.07,0.06
90019201,0.07,0.06
90019202,0.07,0.06
90024183,0.07,0.05
70014142,0.06,0.06
90001020,0.06,0.05
90001021,0.06,0.04
90013116,0.06,0.05
70013125,0.05,0.05
70013126,0.05,0.04
70020104,0.05,0.04
90013117,0.05,0.04
90013118,0.05,0.04
90013119,0.05,0.04
90013120,0.05,0.04
90013121,0.05,0.04
90013122,0.05,0.04
90013123,0.05,0.04
90013124,0.05,0.04
90020103,0.05,0.04
90020102,0.04,0.03
90020097,0.03,0.02
90020098,0.03,0.02
90020099,0.03,0.02
90020100,0.03,0.02
90020101,0.03,0.02
90025209,0.03,0.02
70016177,0.02,0.02
70016178,0.02,0.02
70019204,0.02,0.02
90016171,0.02,0.01
90016172,0.02,0.01
90016173,0.02,0.02
90016174,0.02,0.02
90016175,0.02,0.01
90016176,0.02,0.01
90019200,0.02,0.01
90019201,0.02,0.02
90019202,0.02,0.02
90019203,0.02,0.01
70012042,0.00,0.00
70012043,0.00,0.00
90012033,0.00,0.00
90012034,0.00,0.00
90012035,0.00,0.00
90012037,0.00,0.00
90012038,0.00,0.00
90012039,0.00,0.00
90012041,0.00,0.00
