month_name,fiscal_year,customer_code,product_code,forecast_quantity,sold_quantity,forecast_error
September,2018,90013118,A0118150101,1,2,-1
September,2018,90013119,A0118150101,1,2,-1
September,2018,90013121,A0118150101,2,3,-1
September,2018,90013122,A0118150101,1,3,-2
September,2018,90013123,A0118150101,2,3,-1
September,2018,90016173,A0118150101,1,1,0
September,2018,90016175,A0118150101,1,1,0
September,2018,90022071,A0118150101,13,21,-8
September,2018,90022073,A0118150101,7,18,-11
September,2018,90022074,A0118150101,5,39,-34
September,2018,90022075,A0118150101,6,19,-13
September,2018,90022077,A0118150101,8,10,-2
September,2018,90022078,A0118150101,6,20,-14
September,2018,90022079,A0118150101,14,29,-15
September,2018,90022081,A0118150101,7,37,-30
September,2018,90022082,A0118150101,15,6,9
September,2018,90022083,A0118150101,5,10,-5
September,2018,90023022,A0118150101,1,5,-4
September,2018,90023023,A0118150101,5,1,4
September,2018,90023025,A0118150101,3,1,2
September,2018,90023026,A0118150101,2,2,0
September,2018,90023027,A0118150101,2,1,1
September,2018,90023029,A0118150101,2,2,0
September,2018,90023030,A0118150101,1,4,-3
September,2018,90027207,A0118150101,5,4,1
September,2018,70002017,A0118150102,62,77,-15
September,2018,70002018,A0118150102,58,23,35
September,2018,70003181,A0118150102,10,15,-5
September,2018,70003182,A0118150102,6,11,-5
September,2018,70006157,A0118150102,4,10,-6
September,2018,70006158,A0118150102,6,8,-2
September,2018,70007198,A0118150102,10,25,-15
September,2018,70007199,A0118150102,3,33,-30
September,2018,70008169,A0118150102,14,12,2
September,2018,70008170,A0118150102,19,14,5
September,2018,70011193,A0118150102,5,3,2
September,2018,70011194,A0118150102,3,4,-1
September,2018,70012042,A0118150102,0,0,0
September,2018,70012043,A0118150102,0,0,0
September,2018,70013125,A0118150102,2,2,0
September,2018,70013126,A0118150102,2,1,1
September,2018,70016177,A0118150102,1,1,0
September,2018,70022085,A0118150102,2,12,-10
September,2018,70023031,A0118150102,1,4,-3
September,2018,80001019,A0118150102,15,6,9
September,2018,80006154,A0118150102,4,32,-28
September,2018,80006155,A0118150102,23,28,-5
September,2018,80007195,A0118150102,20,89,-69
September,2018,90001021,A0118150102,2,1,1
September,2018,90002001,A0118150102,48,24,24
September,2018,90002002,A0118150102,55,16,39
September,2018,90002003,A0118150102,73,10,63
September,2018,90002005,A0118150102,30,11,19
September,2018,90002006,A0118150102,34,38,-4
September,2018,90002007,A0118150102,75,45,30
September,2018,90002009,A0118150102,32,34,-2
September,2018,90002010,A0118150102,64,39,25
September,2018,90002011,A0118150102,25,22,3
September,2018,90002013,A0118150102,43,55,-12
September,2018,90002014,A0118150102,18,8,10
September,2018,90002015,A0118150102,56,74,-18
September,2018,90003179,A0118150102,3,16,-13
September,2018,90006153,A0118150102,4,7,-3
September,2018,90007197,A0118150102,16,14,2
September,2018,90008165,A0118150102,11,4,7
September,2018,90008166,A0118150102,12,18,-6
September,2018,90008167,A0118150102,9,8,1
September,2018,90011185,A0118150102,4,7,-3
September,2018,90011186,A0118150102,5,9,-4
September,2018,90011187,A0118150102,8,8,0
September,2018,90011189,A0118150102,2,5,-3
September,2018,90011190,A0118150102,6,3,3
September,2018,90011191,A0118150102,6,2,4
September,2018,90012033,A0118150102,0,0,0
September,2018,90012034,A0118150102,0,0,0
September,2018,90012035,A0118150102,0,0,0
September,2018,90012037,A0118150102,0,0,0
September,2018,90012038,A0118150102,0,0,0
September,2018,90012039,A0118150102,0,0,0
September,2018,90012041,A0118150102,0,0,0
September,2018,90013117,A0118150102,0,2,-2
September,2018,90013118,A0118150102,0,2,-2
September,2018,90013119,A0118150102,1,1,0
September,2018,90013121,A0118150102,1,3,-2
September,2018,90013122,A0118150102,1,1,0
September,2018,90013123,A0118150102,1,2,-1
September,2018,90016174,A0118150102,0,1,-1
September,2018,90016175,A0118150102,1,1,0
September,2018,90022071,A0118150102,5,26,-21
September,2018,90022073,A0118150102,9,12,-3
September,2018,90022074,A0118150102,17,37,-20
September,2018,90022075,A0118150102,10,25,-15
September,2018,90022077,A0118150102,10,19,-9
September,2018,90022078,A0118150102,13,36,-23
September,2018,90022079,A0118150102,12,26,-14
September,2018,90022081,A0118150102,16,37,-21
September,2018,90022082,A0118150102,8,7,1
September,2018,90022083,A0118150102,8,11,-3
September,2018,90023022,A0118150102,3,5,-2
September,2018,90023023,A0118150102,2,5,-3
September,2018,90023025,A0118150102,3,2,1
September,2018,90023026,A0118150102,4,2,2
September,2018,90023027,A0118150102,3,2,1
September,2018,90023029,A0118150102,2,3,-1
September,2018,90023030,A0118150102,3,5,-2
September,2018,90027207,A0118150102,2,10,-8
September,2018,70002017,A0118150103,11,54,-43
September,2018,70002018,A0118150103,22,13,9
September,2018,70003181,A0118150103,15,13,2
September,2018,70003182,A0118150103,9,16,-7
September,2018,70006157,A0118150103,5,6,-1
September,2018,70006158,A0118150103,1,8,-7
September,2018,70007198,A0118150103,5,14,-9
September,2018,70007199,A0118150103,17,40,-23
September,2018,70008169,A0118150103,17,5,12
September,2018,70008170,A0118150103,7,11,-4
September,2018,70011193,A0118150103,5,13,-8
September,2018,70011194,A0118150103,2,5,-3
September,2018,70012042,A0118150103,0,0,0
September,2018,70012043,A0118150103,0,0,0
September,2018,70013125,A0118150103,2,1,1
September,2018,70013126,A0118150103,1,1,0
September,2018,70016177,A0118150103,0,1,-1
September,2018,70016178,A0118150103,1,1,0
September,2018,70022085,A0118150103,14,8,6
September,2018,70023031,A0118150103,3,1,2
September,2018,80001019,A0118150103,14,15,-1
September,2018,80006154,A0118150103,7,7,0
September,2018,80006155,A0118150103,18,36,-18
September,2018,80007195,A0118150103,97,180,-83
September,2018,90001021,A0118150103,1,3,-2
September,2018,90002001,A0118150103,65,51,14
September,2018,90002002,A0118150103,51,20,31
September,2018,90002003,A0118150103,22,69,-47
September,2018,90002005,A0118150103,42,77,-35
September,2018,90002006,A0118150103,82,66,16
September,2018,90002007,A0118150103,9,59,-50
September,2018,90002009,A0118150103,44,12,32
September,2018,90002010,A0118150103,53,28,25
September,2018,90002011,A0118150103,52,17,35
September,2018,90002013,A0118150103,29,31,-2
September,2018,90002014,A0118150103,72,64,8
September,2018,90002015,A0118150103,38,22,16
September,2018,90003179,A0118150103,10,15,-5
September,2018,90006153,A0118150103,6,5,1
September,2018,90007197,A0118150103,6,16,-10
September,2018,90008165,A0118150103,6,8,-2
September,2018,90008166,A0118150103,18,14,4
September,2018,90008167,A0118150103,3,12,-9
September,2018,90011185,A0118150103,3,7,-4
September,2018,90011186,A0118150103,6,3,3
September,2018,90011187,A0118150103,3,2,1
September,2018,90011189,A0118150103,7,9,-2
September,2018,90011190,A0118150103,5,7,-2
September,2018,90011191,A0118150103,3,11,-8
September,2018,90012033,A0118150103,0,0,0
September,2018,90012034,A0118150103,0,0,0
September,2018,90012035,A0118150103,0,0,0
September,2018,90012037,A0118150103,0,0,0
September,2018,90012038,A0118150103,0,0,0
September,2018,90012039,A0118150103,0,0,0
September,2018,90012041,A0118150103,0,0,0
September,2018,90013118,A0118150103,1,2,-1
September,2018,90013119,A0118150103,0,2,-2
September,2018,90013121,A0118150103,1,3,-2
September,2018,90013122,A0118150103,0,2,-2
September,2018,90013123,A0118150103,2,1,1
September,2018,90016171,A0118150103,0,1,-1
September,2018,90016174,A0118150103,0,1,-1
September,2018,90016175,A0118150103,1,1,0
September,2018,90022071,A0118150103,6,29,-23
September,2018,90022073,A0118150103,16,32,-16
September,2018,90022074,A0118150103,14,24,-10
September,2018,90022075,A0118150103,11,15,-4
September,2018,90022077,A0118150103,15,25,-10
September,2018,90022078,A0118150103,2,31,-29
September,2018,90022079,A0118150103,13,35,-22
September,2018,90022081,A0118150103,15,40,-25
September,2018,90022082,A0118150103,3,32,-29
September,2018,90022083,A0118150103,7,4,3
September,2018,90023022,A0118150103,3,3,0
September,2018,90023023,A0118150103,1,4,-3
September,2018,90023025,A0118150103,1,4,-3
September,2018,90023026,A0118150103,1,4,-3
September,2018,90023027,A0118150103,2,2,0
September,2018,90023029,A0118150103,2,5,-3
September,2018,90023030,A0118150103,2,2,0
September,2018,90027207,A0118150103,4,7,-3
September,2018,70002017,A0118150104,25,42,-17
September,2018,70002018,A0118150104,59,42,17
September,2018,70003181,A0118150104,2,11,-9
September,2018,70003182,A0118150104,9,18,-9
September,2018,70006157,A0118150104,4,9,-5
September,2018,70006158,A0118150104,1,3,-2
September,2018,70007198,A0118150104,12,16,-4
September,2018,70007199,A0118150104,8,43,-35
September,2018,70008169,A0118150104,10,5,5
September,2018,70008170,A0118150104,22,9,13
September,2018,70011193,A0118150104,3,12,-9
September,2018,70011194,A0118150104,1,8,-7
September,2018,70012042,A0118150104,0,0,0
September,2018,70012043,A0118150104,0,0,0
September,2018,70013125,A0118150104,2,2,0
September,2018,70013126,A0118150104,2,1,1
September,2018,70016177,A0118150104,0,1,-1
September,2018,70016178,A0118150104,1,1,0
September,2018,70022085,A0118150104,19,7,12
September,2018,70023031,A0118150104,2,2,0
September,2018,80001019,A0118150104,15,2,13
September,2018,80006154,A0118150104,18,31,-13
September,2018,80006155,A0118150104,8,33,-25
September,2018,80007195,A0118150104,11,24,-13
September,2018,90001021,A0118150104,3,1,2
September,2018,90002001,A0118150104,29,51,-22
September,2018,90002002,A0118150104,18,10,8
September,2018,90002003,A0118150104,63,58,5
September,2018,90002005,A0118150104,77,47,30
September,2018,90002006,A0118150104,64,11,53
September,2018,90002007,A0118150104,60,55,5
September,2018,90002009,A0118150104,87,91,-4
September,2018,90002010,A0118150104,65,59,6
September,2018,90002011,A0118150104,8,66,-58
September,2018,90002013,A0118150104,59,21,38
September,2018,90002014,A0118150104,53,68,-15
September,2018,90002015,A0118150104,64,61,3
September,2018,90003179,A0118150104,11,13,-2
September,2018,90006153,A0118150104,5,5,0
September,2018,90007197,A0118150104,15,48,-33
September,2018,90008165,A0118150104,17,20,-3
September,2018,90008166,A0118150104,4,3,1
September,2018,90008167,A0118150104,4,13,-9
September,2018,90011185,A0118150104,8,12,-4
September,2018,90011186,A0118150104,2,7,-5
September,2018,90011187,A0118150104,6,14,-8
September,2018,90011189,A0118150104,2,4,-2
September,2018,90011190,A0118150104,2,11,-9
September,2018,90011191,A0118150104,8,12,-4
September,2018,90012033,A0118150104,0,0,0
September,2018,90012034,A0118150104,0,0,0
September,2018,90012035,A0118150104,0,0,0
September,2018,90012037,A0118150104,0,0,0
September,2018,90012038,A0118150104,0,0,0
September,2018,90012039,A0118150104,0,0,0
September,2018,90012041,A0118150104,0,0,0
September,2018,90013117,A0118150104,1,1,0
September,2018,90013118,A0118150104,1,3,-2
September,2018,90013119,A0118150104,2,1,1
September,2018,90013121,A0118150104,2,3,-1
September,2018,90013122,A0118150104,0,2,-2
September,2018,90013123,A0118150104,2,1,1
September,2018,90016173,A0118150104,1,1,0
September,2018,90016174,A0118150104,1,1,0
September,2018,90016175,A0118150104,0,1,-1
September,2018,90022071,A0118150104,2,27,-25
September,2018,90022073,A0118150104,15,36,-21
September,2018,90022074,A0118150104,16,21,-5
September,2018,90022075,A0118150104,13,12,1
September,2018,90022077,A0118150104,10,19,-9
September,2018,90022078,A0118150104,2,33,-31
September,2018,90022079,A0118150104,3,11,-8
September,2018,90022081,A0118150104,5,41,-36
September,2018,90022082,A0118150104,19,14,5
September,2018,90022083,A0118150104,12,24,-12
September,2018,90023022,A0118150104,4,3,1
September,2018,90023023,A0118150104,2,8,-6
September,2018,90023025,A0118150104,1,4,-3
September,2018,90023026,A0118150104,3,5,-2
September,2018,90023027,A0118150104,1,2,-1
September,2018,90023029,A0118150104,1,4,-3
September,2018,90023030,A0118150104,2,1,1
September,2018,90027207,A0118150104,6,8,-2
September,2018,70002017,A0418150101,117,67,50
September,2018,70002018,A0418150101,97,20,77
September,2018,70003181,A0418150101,7,14,-7
September,2018,70003182,A0418150101,5,20,-15
September,2018,70006157,A0418150101,8,6,2
September,2018,70006158,A0418150101,7,6,1
September,2018,70007198,A0418150101,20,17,3
September,2018,70007199,A0418150101,27,43,-16
September,2018,70008169,A0418150101,21,16,5
September,2018,70008170,A0418150101,28,15,13
September,2018,70011193,A0418150101,7,13,-6
September,2018,70011194,A0418150101,7,9,-2
September,2018,70012042,A0418150101,0,0,0
September,2018,70012043,A0418150101,0,0,0
September,2018,70013125,A0418150101,1,2,-1
September,2018,70013126,A0418150101,2,2,0
September,2018,70016178,A0418150101,1,2,-1
September,2018,70022085,A0418150101,12,5,7
September,2018,70023031,A0418150101,2,5,-3
September,2018,80001019,A0418150101,16,7,9
September,2018,80006154,A0418150101,7,7,0
September,2018,80006155,A0418150101,20,16,4
September,2018,80007195,A0418150101,23,94,-71
September,2018,90001021,A0418150101,2,2,0
September,2018,90002001,A0418150101,48,51,-3
September,2018,90002002,A0418150101,61,72,-11
September,2018,90002003,A0418150101,74,60,14
September,2018,90002005,A0418150101,56,66,-10
September,2018,90002006,A0418150101,94,85,9
September,2018,90002007,A0418150101,78,67,11
September,2018,90002009,A0418150101,67,22,45
September,2018,90002010,A0418150101,24,20,4
September,2018,90002011,A0418150101,68,48,20
September,2018,90002013,A0418150101,77,83,-6
September,2018,90002014,A0418150101,15,29,-14
September,2018,90002015,A0418150101,74,18,56
September,2018,90003179,A0418150101,19,9,10
September,2018,90006153,A0418150101,5,11,-6
September,2018,90007197,A0418150101,21,32,-11
September,2018,90008165,A0418150101,24,19,5
September,2018,90008166,A0418150101,5,4,1
September,2018,90008167,A0418150101,22,7,15
September,2018,90011185,A0418150101,9,8,1
September,2018,90011186,A0418150101,3,5,-2
September,2018,90011187,A0418150101,4,4,0
September,2018,90011189,A0418150101,11,11,0
September,2018,90011190,A0418150101,6,7,-1
September,2018,90011191,A0418150101,5,9,-4
September,2018,90012033,A0418150101,0,0,0
September,2018,90012034,A0418150101,0,0,0
September,2018,90012035,A0418150101,0,0,0
September,2018,90012037,A0418150101,0,0,0
September,2018,90012038,A0418150101,0,0,0
September,2018,90012039,A0418150101,0,0,0
September,2018,90012041,A0418150101,0,0,0
September,2018,90013117,A0418150101,0,3,-3
September,2018,90013118,A0418150101,1,1,0
September,2018,90013119,A0418150101,2,3,-1
September,2018,90013121,A0418150101,1,3,-2
September,2018,90013122,A0418150101,2,1,1
September,2018,90013123,A0418150101,3,2,1
September,2018,90016171,A0418150101,0,1,-1
September,2018,90016173,A0418150101,1,1,0
September,2018,90016174,A0418150101,1,1,0
September,2018,90016175,A0418150101,0,1,-1
September,2018,90022071,A0418150101,20,8,12
September,2018,90022073,A0418150101,11,35,-24
September,2018,90022074,A0418150101,26,27,-1
September,2018,90022075,A0418150101,8,44,-36
September,2018,90022077,A0418150101,10,16,-6
September,2018,90022078,A0418150101,4,11,-7
September,2018,90022079,A0418150101,13,16,-3
September,2018,90022081,A0418150101,36,43,-7
September,2018,90022082,A0418150101,4,27,-23
September,2018,90022083,A0418150101,4,41,-37
September,2018,90023022,A0418150101,2,3,-1
September,2018,90023023,A0418150101,4,9,-5
September,2018,90023025,A0418150101,2,2,0
September,2018,90023026,A0418150101,4,4,0
September,2018,90023027,A0418150101,3,3,0
September,2018,90023029,A0418150101,1,2,-1
September,2018,90023030,A0418150101,3,5,-2
September,2018,90027207,A0418150101,8,12,-4
September,2018,70002017,A0418150102,102,17,85
September,2018,70002018,A0418150102,41,75,-34
September,2018,70003181,A0418150102,14,26,-12
September,2018,70003182,A0418150102,5,4,1
September,2018,70006157,A0418150102,5,10,-5
September,2018,70006158,A0418150102,8,6,2
September,2018,70007198,A0418150102,8,14,-6
September,2018,70007199,A0418150102,6,30,-24
September,2018,70008169,A0418150102,21,23,-2
September,2018,70008170,A0418150102,22,23,-1
September,2018,70011193,A0418150102,3,10,-7
September,2018,70011194,A0418150102,6,2,4
September,2018,70012042,A0418150102,0,0,0
September,2018,70012043,A0418150102,0,0,0
September,2018,70013125,A0418150102,1,4,-3
September,2018,70013126,A0418150102,1,3,-2
September,2018,70016177,A0418150102,0,2,-2
September,2018,70016178,A0418150102,1,1,0
September,2018,70022085,A0418150102,17,6,11
September,2018,70023031,A0418150102,2,3,-1
September,2018,80001019,A0418150102,17,6,11
September,2018,80006154,A0418150102,20,42,-22
September,2018,80006155,A0418150102,24,47,-23
September,2018,80007195,A0418150102,17,178,-161
September,2018,90001021,A0418150102,3,4,-1
September,2018,90002001,A0418150102,44,16,28
September,2018,90002002,A0418150102,59,18,41
September,2018,90002003,A0418150102,109,85,24
September,2018,90002005,A0418150102,65,72,-7
September,2018,90002006,A0418150102,50,34,16
September,2018,90002007,A0418150102,104,18,86
September,2018,90002009,A0418150102,102,75,27
September,2018,90002010,A0418150102,20,89,-69
September,2018,90002011,A0418150102,26,79,-53
September,2018,90002013,A0418150102,25,32,-7
September,2018,90002014,A0418150102,88,81,7
September,2018,90002015,A0418150102,54,55,-1
September,2018,90003179,A0418150102,4,17,-13
September,2018,90006153,A0418150102,6,3,3
September,2018,90007197,A0418150102,20,11,9
September,2018,90008165,A0418150102,6,13,-7
September,2018,90008166,A0418150102,12,21,-9
September,2018,90008167,A0418150102,31,9,22
September,2018,90011185,A0418150102,9,7,2
September,2018,90011186,A0418150102,9,10,-1
September,2018,90011187,A0418150102,4,16,-12
September,2018,90011189,A0418150102,8,6,2
September,2018,90011190,A0418150102,5,9,-4
September,2018,90011191,A0418150102,9,7,2
September,2018,90012033,A0418150102,0,0,0
September,2018,90012034,A0418150102,0,0,0
September,2018,90012035,A0418150102,0,0,0
September,2018,90012037,A0418150102,0,0,0
September,2018,90012038,A0418150102,0,0,0
September,2018,90012039,A0418150102,0,0,0
September,2018,90012041,A0418150102,0,0,0
September,2018,90013117,A0418150102,3,4,-1
September,2018,90013118,A0418150102,3,1,2
September,2018,90013119,A0418150102,0,3,-3
September,2018,90013121,A0418150102,1,3,-2
September,2018,90013122,A0418150102,3,3,0
September,2018,90013123,A0418150102,1,2,-1
September,2018,90016171,A0418150102,1,2,-1
September,2018,90016173,A0418150102,1,1,0
September,2018,90022071,A0418150102,16,22,-6
September,2018,90022073,A0418150102,7,17,-10
September,2018,90022074,A0418150102,27,56,-29
September,2018,90022075,A0418150102,15,9,6
September,2018,90022077,A0418150102,8,34,-26
September,2018,90022078,A0418150102,15,45,-30
September,2018,90022079,A0418150102,18,25,-7
September,2018,90022081,A0418150102,31,64,-33
September,2018,90022082,A0418150102,20,11,9
September,2018,90022083,A0418150102,16,13,3
September,2018,90023022,A0418150102,1,2,-1
September,2018,90023023,A0418150102,8,9,-1
September,2018,90023025,A0418150102,2,2,0
September,2018,90023026,A0418150102,1,5,-4
September,2018,90023027,A0418150102,4,6,-2
September,2018,90023029,A0418150102,2,2,0
September,2018,90023030,A0418150102,6,2,4
September,2018,90027207,A0418150102,4,7,-3
September,2018,70002017,A0418150103,82,25,57
September,2018,70002018,A0418150103,36,88,-52
September,2018,70003181,A0418150103,18,24,-6
September,2018,70003182,A0418150103,17,7,10
September,2018,70006157,A0418150103,7,3,4
September,2018,70006158,A0418150103,8,10,-2
September,2018,70007198,A0418150103,15,7,8
September,2018,70007199,A0418150103,19,11,8
September,2018,70008169,A0418150103,14,8,6
September,2018,70008170,A0418150103,25,21,4
September,2018,70011193,A0418150103,5,9,-4
September,2018,70011194,A0418150103,7,13,-6
September,2018,70012042,A0418150103,0,0,0
September,2018,70012043,A0418150103,0,0,0
September,2018,70013125,A0418150103,1,1,0
September,2018,70013126,A0418150103,1,1,0
September,2018,70016177,A0418150103,1,2,-1
September,2018,70022085,A0418150103,9,13,-4
September,2018,70023031,A0418150103,4,4,0
September,2018,80001019,A0418150103,11,17,-6
September,2018,80006154,A0418150103,12,13,-1
September,2018,80006155,A0418150103,12,34,-22
September,2018,80007195,A0418150103,136,89,47
September,2018,90001021,A0418150103,5,4,1
September,2018,90002001,A0418150103,22,12,10
September,2018,90002002,A0418150103,71,9,62
September,2018,90002003,A0418150103,115,70,45
September,2018,90002005,A0418150103,21,19,2
September,2018,90002006,A0418150103,32,44,-12
September,2018,90002007,A0418150103,102,61,41
September,2018,90002009,A0418150103,45,36,9
September,2018,90002010,A0418150103,57,49,8
September,2018,90002011,A0418150103,37,93,-56
September,2018,90002013,A0418150103,115,87,28
September,2018,90002014,A0418150103,17,34,-17
September,2018,90002015,A0418150103,88,72,16
September,2018,90003179,A0418150103,3,12,-9
September,2018,90006153,A0418150103,5,10,-5
September,2018,90007197,A0418150103,8,44,-36
September,2018,90008165,A0418150103,30,21,9
September,2018,90008166,A0418150103,33,9,24
September,2018,90008167,A0418150103,34,16,18
September,2018,90011185,A0418150103,5,6,-1
September,2018,90011186,A0418150103,4,16,-12
September,2018,90011187,A0418150103,1,11,-10
September,2018,90011189,A0418150103,3,13,-10
September,2018,90011190,A0418150103,7,8,-1
September,2018,90011191,A0418150103,9,5,4
September,2018,90012033,A0418150103,0,0,0
September,2018,90012034,A0418150103,0,0,0
September,2018,90012035,A0418150103,0,0,0
September,2018,90012037,A0418150103,0,0,0
September,2018,90012038,A0418150103,0,0,0
September,2018,90012039,A0418150103,0,0,0
September,2018,90012041,A0418150103,0,0,0
September,2018,90013117,A0418150103,1,3,-2
September,2018,90013118,A0418150103,2,2,0
September,2018,90013119,A0418150103,2,3,-1
September,2018,90013121,A0418150103,2,3,-1
September,2018,90013122,A0418150103,3,4,-1
September,2018,90013123,A0418150103,1,3,-2
September,2018,90016171,A0418150103,1,1,0
September,2018,90016173,A0418150103,0,1,-1
September,2018,90016174,A0418150103,1,1,0
September,2018,90016175,A0418150103,1,2,-1
September,2018,90022071,A0418150103,16,29,-13
September,2018,90022073,A0418150103,21,31,-10
September,2018,90022074,A0418150103,7,11,-4
September,2018,90022075,A0418150103,25,5,20
September,2018,90022077,A0418150103,15,27,-12
September,2018,90022078,A0418150103,10,31,-21
September,2018,90022079,A0418150103,5,10,-5
September,2018,90022081,A0418150103,10,54,-44
September,2018,90022082,A0418150103,23,36,-13
September,2018,90022083,A0418150103,5,13,-8
September,2018,90023022,A0418150103,4,6,-2
September,2018,90023023,A0418150103,2,1,1
September,2018,90023025,A0418150103,5,1,4
September,2018,90023026,A0418150103,4,6,-2
September,2018,90023027,A0418150103,2,4,-2
September,2018,90023029,A0418150103,1,3,-2
September,2018,90023030,A0418150103,4,1,3
September,2018,90027207,A0418150103,9,12,-3
September,2018,70002017,A0418150104,96,17,79
September,2018,70002018,A0418150104,24,84,-60
September,2018,70003181,A0418150104,15,18,-3
September,2018,70003182,A0418150104,10,4,6
September,2018,70006157,A0418150104,2,4,-2
September,2018,70006158,A0418150104,5,9,-4
September,2018,70007198,A0418150104,30,53,-23
September,2018,70007199,A0418150104,11,23,-12
September,2018,70008169,A0418150104,11,4,7
September,2018,70008170,A0418150104,16,15,1
September,2018,70011193,A0418150104,6,16,-10
September,2018,70011194,A0418150104,11,8,3
September,2018,70012042,A0418150104,0,0,0
September,2018,70012043,A0418150104,0,0,0
September,2018,70013125,A0418150104,1,1,0
September,2018,70013126,A0418150104,3,1,2
September,2018,70016177,A0418150104,1,1,0
September,2018,70016178,A0418150104,0,1,-1
September,2018,70022085,A0418150104,10,5,5
September,2018,70023031,A0418150104,5,3,2
September,2018,80001019,A0418150104,2,12,-10
September,2018,80006154,A0418150104,43,24,19
September,2018,80006155,A0418150104,11,9,2
September,2018,80007195,A0418150104,65,61,4
September,2018,90001021,A0418150104,1,3,-2
September,2018,90002001,A0418150104,79,37,42
September,2018,90002002,A0418150104,52,48,4
September,2018,90002003,A0418150104,24,75,-51
September,2018,90002005,A0418150104,18,62,-44
September,2018,90002006,A0418150104,24,79,-55
September,2018,90002007,A0418150104,67,65,2
September,2018,90002009,A0418150104,88,90,-2
September,2018,90002010,A0418150104,101,28,73
September,2018,90002011,A0418150104,59,41,18
September,2018,90002013,A0418150104,102,38,64
September,2018,90002014,A0418150104,45,90,-45
September,2018,90002015,A0418150104,78,45,33
September,2018,90003179,A0418150104,11,4,7
September,2018,90006153,A0418150104,2,12,-10
September,2018,90007197,A0418150104,25,27,-2
September,2018,90008165,A0418150104,12,13,-1
September,2018,90008166,A0418150104,19,21,-2
September,2018,90008167,A0418150104,7,21,-14
September,2018,90011185,A0418150104,10,5,5
September,2018,90011186,A0418150104,2,14,-12
September,2018,90011187,A0418150104,5,15,-10
September,2018,90011189,A0418150104,10,17,-7
September,2018,90011190,A0418150104,7,13,-6
September,2018,90011191,A0418150104,3,5,-2
September,2018,90012033,A0418150104,0,0,0
September,2018,90012034,A0418150104,0,0,0
September,2018,90012035,A0418150104,0,0,0
September,2018,90012037,A0418150104,0,0,0
September,2018,90012038,A0418150104,0,0,0
September,2018,90012039,A0418150104,0,0,0
September,2018,90012041,A0418150104,0,0,0
September,2018,90013117,A0418150104,2,3,-1
September,2018,90013118,A0418150104,1,2,-1
September,2018,90013119,A0418150104,2,2,0
September,2018,90013121,A0418150104,2,3,-1
September,2018,90013123,A0418150104,1,2,-1
September,2018,90016174,A0418150104,0,1,-1
September,2018,90016175,A0418150104,1,1,0
September,2018,90022071,A0418150104,18,26,-8
September,2018,90022073,A0418150104,9,19,-10
September,2018,90022074,A0418150104,15,48,-33
September,2018,90022075,A0418150104,18,14,4
September,2018,90022077,A0418150104,3,43,-40
September,2018,90022078,A0418150104,23,16,7
September,2018,90022079,A0418150104,11,33,-22
September,2018,90022081,A0418150104,34,43,-9
