product_code,fiscal_year,gross_sales_mln
A3018150202,2019,1.28
A3018150203,2019,1.78
A3019150204,2019,1.54
A3019150205,2019,1.58
A3019150206,2019,1.81
A3119150301,2019,1.86
A3119150302,2019,1.74
A3119150303,2019,1.81
A3120150304,2019,1.91
A3120150305,2019,2.25
A3120150306,2019,2.34
A3220150401,2019,2.33
A3220150402,2019,2.48
A4118110101,2019,0.70
A4118110102,2019,0.77
A4118110103,2019,0.76
A4118110104,2019,0.82
A4118110105,2019,0.79
A4118110106,2019,0.81
A4118110107,2019,0.84
A4218110201,2019,0.82
A4218110202,2019,0.97
A4218110203,2019,0.90
A4218110204,2019,1.09
A4218110205,2019,1.06
A4218110206,2019,1.08
A4218110207,2019,1.01
A4218110208,2019,1.01
A4318110301,2019,1.15
A4319110302,2019,1.05
A4319110303,2019,1.01
A4319110304,2019,1.12
A4319110305,2019,1.15
A4319110306,2019,1.12
A4419110401,2019,1.15
A4419110402,2019,1.24
A4419110403,2019,1.22
A4918110101,2019,1.22
A4918110102,2019,1.24
A4918110103,2019,1.24
A4918110104,2019,1.33
A5018110201,2019,1.27
A5018110202,2019,1.48
A5018110203,2019,1.28
A5018110204,2019,1.29
A5018110205,2019,1.40
A5018110206,2019,1.25
A5018110207,2019,1.40
A5019110208,2019,1.30
A5119110301,2019,1.33
A5119110302,2019,1.41
A5119110303,2019,1.45
A5119110304,2019,1.57
A5318110101,2019,0.52
A5318110102,2019,0.49
A5318110103,2019,0.50
A5318110104,2019,0.52
A5318110105,2019,0.56
A5318110106,2019,0.49
A5318110107,2019,0.52
A5318110108,2019,0.49
A5419110201,2019,0.51
A5419110202,2019,0.53
A5419110203,2019,0.50
A5419110204,2019,0.49
A5419110205,2019,0.54
A5419110206,2019,0.56
A5419110207,2019,0.55
A5419110208,2019,0.50
A5519110301,2019,0.55
A5519110302,2019,0.60
A5519110303,2019,0.57
A5519110304,2019,0.57
A5520110305,2019,0.64
A5520110306,2019,0.56
A5520110307,2019,0.53
A5520110308,2019,0.52
A5620110401,2019,0.60
A5620110402,2019,0.52
A5621110403,2019,0.59
A5621110404,2019,0.51
A5621110405,2019,0.57
A6218160101,2019,3.59
A6218160102,2019,4.06
A6219160103,2019,3.98
A6319160201,2019,4.45
A6319160202,2019,4.84
A6319160203,2019,5.03
A7118160101,2019,7.85
A7119160102,2019,8.02
A7119160103,2019,8.45
A7219160201,2019,8.31
A0118150101,2020,1.02
A0118150102,2020,1.27
A0118150103,2020,1.37
A0118150104,2020,1.27
A0219150201,2020,1.39
A0219150202,2020,1.52
A0220150203,2020,1.52
A0320150301,2020,1.44
A0418150101,2020,0.80
A0418150102,2020,0.79
A0418150103,2020,0.80
A0418150104,2020,0.86
A0418150105,2020,0.83
A0418150106,2020,0.77
A0418150107,2020,0.96
A0418150108,2020,0.90
A0519150201,2020,1.02
A0519150202,2020,1.13
A0519150203,2020,1.11
A0519150204,2020,1.14
A0519150205,2020,1.27
A0519150206,2020,1.21
A0519150207,2020,1.27
A0519150208,2020,1.37
A0619150301,2020,1.37
A0619150302,2020,1.45
A0620150303,2020,1.55
A0620150304,2020,1.47
A0620150305,2020,1.53
A0620150306,2020,1.65
A0621150307,2020,1.60
A0621150308,2020,1.71
A0721150401,2020,1.64
A0721150402,2020,1.75
A1018150101,2020,4.67
A1018150102,2020,5.28
A1018150103,2020,5.08
A1118150201,2020,5.38
A1118150202,2020,5.67
A1119150203,2020,5.30
A1219150301,2020,5.34
A1219150302,2020,6.11
A1219150303,2020,6.09
A1319150401,2020,6.33
A1320150402,2020,6.79
A1320150403,2020,6.28
A1420150501,2020,6.31
A1618150101,2020,0.24
A1618150102,2020,0.22
A1618150103,2020,0.25
A1618150104,2020,0.30
A1718150201,2020,0.28
A1718150202,2020,0.29
A1718150203,2020,0.31
A1718150204,2020,0.35
A1819150301,2020,0.36
A1819150302,2020,0.39
A1819150303,2020,0.40
A1819150304,2020,0.39
A2118150101,2020,0.77
A2118150102,2020,0.93
A2118150103,2020,1.14
A2118150104,2020,1.21
A2118150105,2020,1.26
A2118150106,2020,1.40
A2218150201,2020,1.37
A2218150202,2020,1.56
A2219150203,2020,1.76
A2219150204,2020,1.96
A2219150205,2020,1.79
A2219150206,2020,2.11
A2319150301,2020,2.22
A2319150302,2020,2.02
A2319150303,2020,2.39
A2319150304,2020,2.67
A2319150305,2020,2.54
A2319150306,2020,2.83
A2419150401,2020,2.59
A2419150402,2020,2.72
A2419150403,2020,2.84
A2419150404,2020,2.94
A2419150405,2020,3.07
A2420150406,2020,2.97
A2918150101,2020,1.39
A2918150102,2020,1.61
A2918150103,2020,1.54
A2918150104,2020,1.91
A2918150105,2020,1.84
A2918150106,2020,2.08
A3018150201,2020,2.10
A3018150202,2020,2.23
A3018150203,2020,2.39
A3019150204,2020,2.19
A3019150205,2020,2.34
A3019150206,2020,2.64
A3119150301,2020,2.78
A3119150302,2020,3.01
A3119150303,2020,3.15
A3120150304,2020,2.93
A3120150305,2020,3.27
A3120150306,2020,3.53
A3220150401,2020,3.51
A3220150402,2020,4.15
A3220150403,2020,3.82
A3220150404,2020,3.99
A3220150405,2020,3.73
A3220150406,2020,3.91
A3320150501,2020,3.77
A3320150502,2020,4.52
A3320150503,2020,3.92
A3320150504,2020,4.50
A3718150101,2020,0.03
A3718150102,2020,0.03
A3718150103,2020,0.03
A3718150104,2020,0.03
A3718150105,2020,0.04
A3818150201,2020,0.03
A3818150202,2020,0.04
A3819150203,2020,0.03
A3819150204,2020,0.04
A3819150205,2020,0.04
A3920150301,2020,0.04
A3920150302,2020,0.05
A3920150303,2020,0.05
A3920150304,2020,0.05
A3920150305,2020,0.05
A4020150401,2020,0.05
A4020150402,2020,0.05
A4118110101,2020,1.31
A4118110102,2020,1.48
A4118110103,2020,1.33
A4118110104,2020,1.43
A4118110105,2020,1.51
A4118110106,2020,1.36
A4118110107,2020,1.59
A4218110201,2020,1.57
A4218110202,2020,1.84
A4218110203,2020,1.80
A4218110204,2020,1.92
A4218110205,2020,2.12
A4218110206,2020,1.93
A4218110207,2020,1.88
A4218110208,2020,1.85
A4318110301,2020,2.16
A4319110302,2020,1.94
A4319110303,2020,2.08
A4319110304,2020,2.06
A4319110305,2020,2.11
A4319110306,2020,2.20
A4419110401,2020,2.21
A4419110402,2020,2.34
A4419110403,2020,2.26
A4419110404,2020,2.32
A4419110405,2020,2.58
A4419110406,2020,2.40
A4419110407,2020,2.34
A4419110408,2020,2.48
A4519110501,2020,2.59
A4519110502,2020,2.54
A4519110503,2020,2.47
A4520110504,2020,2.64
A4918110101,2020,2.75
A4918110102,2020,2.68
A4918110103,2020,2.65
A4918110104,2020,2.88
A5018110201,2020,2.99
A5018110202,2020,3.02
A5018110203,2020,2.78
A5018110204,2020,2.72
A5018110205,2020,2.93
A5018110206,2020,2.78
A5018110207,2020,2.85
A5019110208,2020,2.74
A5119110301,2020,2.95
A5119110302,2020,2.79
A5119110303,2020,2.79
A5119110304,2020,2.84
A5119110305,2020,3.02
A5119110306,2020,3.20
A5119110307,2020,3.33
A5119110308,2020,3.26
A5219110401,2020,3.28
A5219110402,2020,3.00
A5219110403,2020,3.10
A5219110404,2020,3.11
A5219110405,2020,3.45
A5219110406,2020,3.20
A5318110101,2020,0.86
A5318110102,2020,0.82
A5318110103,2020,0.81
A5318110104,2020,0.79
A5318110105,2020,0.85
A5318110106,2020,0.81
A5318110107,2020,0.92
A5318110108,2020,0.88
A5419110201,2020,0.86
A5419110202,2020,0.86
A5419110203,2020,0.82
A5419110204,2020,0.87
A5419110205,2020,0.92
A5419110206,2020,0.85
A5419110207,2020,0.92
A5419110208,2020,0.87
A5519110301,2020,0.85
A5519110302,2020,0.86
A5519110303,2020,0.81
A5519110304,2020,0.95
A5520110305,2020,0.91
A5520110306,2020,0.90
A5520110307,2020,0.87
A5520110308,2020,0.87
A5620110401,2020,0.93
A5620110402,2020,0.97
A5621110403,2020,0.97
A5621110404,2020,0.89
A5621110405,2020,0.91
A5621110406,2020,0.94
A5621110407,2020,0.92
A5621110408,2020,0.88
A5721110501,2020,0.90
A6018110101,2020,0.28
A6018110102,2020,0.28
A6018110103,2020,0.28
A6018110104,2020,0.26
A6018110105,2020,0.28
A6018110106,2020,0.27
A6019110107,2020,0.28
A6218160101,2020,4.24
A6218160102,2020,4.41
A6219160103,2020,4.74
A6319160201,2020,5.09
A6319160202,2020,5.20
A6319160203,2020,5.46
A6419160301,2020,5.86
A6419160302,2020,5.48
A6419160303,2020,5.60
A6519160401,2020,5.76
A6720160103,2020,2.01
A6818160201,2020,1.36
A7118160101,2020,7.42
A7119160102,2020,8.06
A7119160103,2020,8.23
A7219160201,2020,8.04
A7220160202,2020,9.93
A7220160203,2020,10.72
A0118150101,2021,1.91
A0118150102,2021,2.11
A0118150103,2021,2.06
A0118150104,2021,2.25
A0219150201,2021,2.39
A0219150202,2021,2.40
A0220150203,2021,2.31
A0320150301,2021,2.30
A0321150302,2021,2.71
A0321150303,2021,2.71
A0418150103,2021,1.52
A0418150104,2021,1.54
A0418150105,2021,1.62
A0418150106,2021,1.58
A0519150201,2021,1.78
A0519150202,2021,1.91
A0519150203,2021,2.12
A0519150204,2021,2.01
A0519150205,2021,2.31
A0519150206,2021,2.49
A0519150207,2021,2.54
A0519150208,2021,2.45
A0619150301,2021,2.42
A0619150302,2021,2.68
A0620150303,2021,2.66
A0620150304,2021,3.03
A0620150305,2021,2.87
A0620150306,2021,2.94
A0621150307,2021,2.75
A0621150308,2021,3.13
A0721150401,2021,3.08
A0721150402,2021,3.01
A0721150403,2021,3.13
A0721150404,2021,3.14
A0821150501,2021,3.20
A0821150502,2021,3.55
A0821150503,2021,3.45
A0821150504,2021,3.70
A0921150601,2021,3.58
A1018150101,2021,9.10
A1018150102,2021,10.11
A1018150103,2021,9.95
A1118150201,2021,10.08
A1118150202,2021,10.55
A1119150203,2021,11.47
A1219150301,2021,11.05
A1219150302,2021,12.14
A1219150303,2021,11.58
A1319150401,2021,11.83
A1320150402,2021,12.19
A1320150403,2021,13.56
A1420150501,2021,12.90
A1420150502,2021,13.57
A1421150503,2021,14.58
A1521150601,2021,15.06
A1521150602,2021,15.15
A1618150101,2021,1.11
A1618150102,2021,1.16
A1618150103,2021,1.23
A1618150104,2021,1.20
A1718150201,2021,1.21
A1718150202,2021,1.24
A1718150203,2021,1.53
A1718150204,2021,1.60
A1819150301,2021,1.60
A1819150302,2021,1.82
A1819150303,2021,1.81
A1819150304,2021,1.78
A1919150401,2021,1.87
A1919150402,2021,1.97
A1919150403,2021,2.01
A1920150404,2021,2.17
A2020150501,2021,2.35
A2020150502,2021,2.25
A2021150503,2021,2.51
A2118150101,2021,1.20
A2118150102,2021,1.63
A2118150103,2021,1.84
A2118150104,2021,2.01
A2118150105,2021,1.94
A2118150106,2021,2.17
A2218150201,2021,2.16
A2218150202,2021,2.62
A2219150203,2021,2.76
A2219150204,2021,3.08
A2219150205,2021,3.27
A2219150206,2021,3.35
A2319150301,2021,3.56
A2319150302,2021,3.85
A2319150303,2021,3.81
A2319150304,2021,4.32
A2319150305,2021,4.31
A2319150306,2021,4.48
A2419150401,2021,4.66
A2419150402,2021,4.45
A2419150403,2021,4.48
A2419150404,2021,4.79
A2419150405,2021,5.29
A2420150406,2021,4.98
A2520150501,2021,5.07
A2520150502,2021,5.93
A2520150503,2021,5.76
A2520150504,2021,5.99
A2520150505,2021,6.20
A2520150506,2021,5.82
A2620150601,2021,6.05
A2620150602,2021,6.49
A2620150603,2021,6.42
A2620150604,2021,6.90
A2620150605,2021,6.57
A2620150606,2021,6.66
A2720150701,2021,6.84
A2721150702,2021,6.89
A2721150703,2021,6.87
A2721150704,2021,8.07
A2721150705,2021,7.91
A2721150706,2021,8.24
A2821150801,2021,8.95
A2918150101,2021,2.35
A2918150102,2021,2.62
A2918150103,2021,2.70
A2918150104,2021,3.11
A2918150105,2021,3.33
A2918150106,2021,3.57
A3018150201,2021,3.74
A3018150202,2021,3.82
A3018150203,2021,4.36
A3019150204,2021,4.00
A3019150205,2021,4.31
A3019150206,2021,4.48
A3119150301,2021,4.62
A3119150302,2021,5.17
A3119150303,2021,5.64
A3120150304,2021,5.82
A3120150305,2021,5.61
A3120150306,2021,6.77
A3220150401,2021,6.42
A3220150402,2021,6.45
A3220150403,2021,6.44
A3220150404,2021,6.42
A3220150405,2021,6.46
A3220150406,2021,6.95
A3320150501,2021,6.87
A3320150502,2021,7.57
A3320150503,2021,7.21
A3320150504,2021,7.74
A3320150505,2021,7.78
A3320150506,2021,7.98
A3420150601,2021,8.49
A3420150602,2021,8.08
A3421150603,2021,9.53
A3421150604,2021,9.68
A3421150605,2021,10.33
A3421150606,2021,10.13
A3521150701,2021,9.87
A3521150702,2021,10.66
A3521150703,2021,10.49
A3521150704,2021,11.57
A3521150705,2021,11.94
A3718150101,2021,0.56
A3718150102,2021,0.55
A3718150103,2021,0.60
A3718150105,2021,0.61
A3818150201,2021,0.59
A3818150202,2021,0.61
A3819150203,2021,0.64
A3819150204,2021,0.73
A3819150205,2021,0.76
A3920150301,2021,0.77
A3920150302,2021,0.81
A3920150303,2021,0.89
A3920150304,2021,0.84
A3920150305,2021,0.96
A4020150401,2021,0.93
A4020150402,2021,0.98
A4021150403,2021,1.04
A4021150404,2021,1.00
A4021150405,2021,1.09
A4118110105,2021,3.07
A4118110106,2021,3.22
A4118110107,2021,3.37
A4218110201,2021,3.34
A4218110202,2021,3.76
A4218110203,2021,4.04
A4218110204,2021,3.86
A4218110205,2021,4.12
A4218110206,2021,3.88
A4218110207,2021,4.10
A4218110208,2021,4.20
A4318110301,2021,4.54
A4319110302,2021,4.54
A4319110303,2021,4.34
A4319110304,2021,4.54
A4319110305,2021,4.65
A4319110306,2021,4.77
A4419110401,2021,4.51
A4419110402,2021,4.75
A4419110403,2021,4.82
A4419110404,2021,4.79
A4419110405,2021,4.92
A4419110406,2021,4.78
A4419110407,2021,4.92
A4419110408,2021,5.02
A4519110501,2021,5.15
A4519110502,2021,5.10
A4519110503,2021,5.16
A4520110504,2021,5.72
A4520110505,2021,5.35
A4520110506,2021,5.48
A4520110507,2021,5.53
A4520110508,2021,5.50
A4620110601,2021,5.84
A4620110602,2021,5.89
A4620110603,2021,6.19
A4620110604,2021,5.98
A4620110605,2021,5.92
A4620110606,2021,5.80
A4620110607,2021,5.83
A4620110608,2021,6.18
A4720110701,2021,6.14
A4720110702,2021,6.16
A4721110703,2021,6.15
A4721110704,2021,6.36
A4721110705,2021,6.10
A4918110101,2021,4.97
A4918110102,2021,5.35
A4918110103,2021,5.19
A4918110104,2021,5.60
A5018110201,2021,5.42
A5018110202,2021,5.69
A5018110203,2021,5.48
A5018110204,2021,5.38
A5018110205,2021,5.86
A5018110206,2021,5.77
A5018110207,2021,5.73
A5019110208,2021,5.50
A5119110301,2021,5.68
A5119110302,2021,5.60
A5119110303,2021,5.77
A5119110305,2021,5.82
A5119110306,2021,5.78
A5119110307,2021,6.28
A5119110308,2021,6.27
A5219110401,2021,6.01
A5219110402,2021,5.98
A5219110403,2021,6.24
A5219110405,2021,6.19
A5219110406,2021,6.64
A5219110407,2021,6.72
A5220110408,2021,6.28
A5318110103,2021,4.18
A5318110104,2021,4.14
A5318110105,2021,3.94
A5318110106,2021,4.09
A5318110107,2021,4.11
A5318110108,2021,4.10
A5419110201,2021,4.07
A5419110202,2021,4.10
A5419110203,2021,4.32
A5419110204,2021,4.34
A5419110205,2021,4.04
A5419110206,2021,4.26
A5419110207,2021,4.32
A5419110208,2021,4.28
A5519110301,2021,4.24
A5519110302,2021,4.37
A5519110303,2021,4.36
A5519110304,2021,4.29
A5520110305,2021,4.50
A5520110306,2021,4.56
A5520110307,2021,4.39
A5520110308,2021,4.24
A5620110401,2021,4.55
A5620110402,2021,4.21
A5621110403,2021,4.52
A5621110404,2021,4.67
A5621110405,2021,4.31
A5621110406,2021,4.62
A5621110407,2021,4.80
A5621110408,2021,4.73
A5721110501,2021,4.75
A5721110502,2021,4.55
A5721110503,2021,5.01
A5721110504,2021,4.70
A5721110505,2021,4.84
A5721110506,2021,5.27
A5820110101,2021,8.03
A5820110102,2021,8.41
A5820110103,2021,8.86
A5820110104,2021,8.32
A5820110105,2021,8.30
A5820110106,2021,8.46
A5820110107,2021,8.76
A5821110108,2021,8.91
A6018110101,2021,1.87
A6018110102,2021,1.76
A6018110103,2021,1.80
A6018110104,2021,1.77
A6018110105,2021,1.77
A6018110106,2021,1.80
A6019110107,2021,1.85
A6019110108,2021,1.91
A6119110201,2021,1.91
A6119110202,2021,1.81
A6119110203,2021,1.81
A6119110204,2021,1.85
A6120110205,2021,1.95
A6120110206,2021,1.86
A6218160101,2021,5.63
A6218160102,2021,6.23
A6219160103,2021,6.81
A6319160201,2021,7.18
A6319160202,2021,7.66
A6319160203,2021,7.74
A6419160301,2021,7.38
A6419160302,2021,8.03
A6419160303,2021,8.04
A6519160401,2021,7.80
A6520160402,2021,8.25
A6520160403,2021,8.68
A6620160501,2021,9.34
A6720160103,2021,3.11
A6818160201,2021,2.01
A6818160202,2021,2.65
A6819160203,2021,3.45
A7118160101,2021,8.45
A7119160102,2021,8.55
A7119160103,2021,8.14
A7219160201,2021,9.07
A7220160202,2021,10.12
A7220160203,2021,10.39
A7321160301,2021,11.48
A7321160302,2021,12.81
A7321160303,2021,12.28
A0118150103,2022,3.91
A0118150104,2022,3.94
A0219150201,2022,4.30
A0219150202,2022,4.25
A0220150203,2022,4.27
A0320150301,2022,4.08
A0321150302,2022,4.96
A0321150303,2022,4.82
A0418150103,2022,4.60
A0418150104,2022,4.09
A0418150105,2022,4.16
A0418150106,2022,4.15
A0519150204,2022,5.72
A0519150205,2022,6.65
A0519150206,2022,7.10
A0519150207,2022,7.39
A0519150208,2022,7.34
A0619150301,2022,7.33
A0619150302,2022,7.62
A0620150303,2022,8.48
A0620150304,2022,8.39
A0620150305,2022,8.01
A0620150306,2022,7.71
A0621150307,2022,8.18
A0621150308,2022,8.98
A0721150401,2022,8.73
A0721150402,2022,8.81
A0721150403,2022,9.18
A0721150404,2022,9.69
A0821150501,2022,8.54
A0821150502,2022,9.56
A0821150503,2022,9.78
A0821150504,2022,9.30
A0921150601,2022,9.82
A0921150602,2022,9.57
A0921150603,2022,9.80
A0921150604,2022,10.19
A1118150201,2022,29.36
A1118150202,2022,29.97
A1119150203,2022,28.92
A1219150301,2022,30.26
A1219150302,2022,29.35
A1219150303,2022,33.19
A1319150401,2022,30.65
A1320150402,2022,33.28
A1320150403,2022,35.65
A1420150501,2022,37.09
A1420150502,2022,35.58
A1421150503,2022,40.08
A1521150601,2022,41.94
A1521150602,2022,42.03
A1521150603,2022,45.89
A1718150201,2022,4.13
A1718150202,2022,3.95
A1718150203,2022,4.77
A1718150204,2022,5.18
A1819150301,2022,5.41
A1819150302,2022,5.84
A1819150303,2022,6.06
A1819150304,2022,6.11
A1919150401,2022,5.85
A1919150402,2022,5.70
A1919150403,2022,5.93
A1920150404,2022,7.14
A2020150501,2022,6.72
A2020150502,2022,7.75
A2021150503,2022,7.52
A2021150504,2022,7.84
A2118150103,2022,0.86
A2118150104,2022,1.01
A2118150105,2022,0.99
A2118150106,2022,1.01
A2218150201,2022,1.08
A2218150202,2022,1.17
A2219150203,2022,1.42
A2219150204,2022,1.48
A2219150205,2022,1.68
A2219150206,2022,1.59
A2319150301,2022,1.74
A2319150302,2022,1.75
A2319150303,2022,1.91
A2319150304,2022,2.09
A2319150305,2022,2.31
A2319150306,2022,1.99
A2419150401,2022,2.29
A2419150402,2022,2.24
A2419150403,2022,2.27
A2419150404,2022,2.44
A2419150405,2022,2.58
A2420150406,2022,2.51
A2520150501,2022,2.41
A2520150502,2022,2.64
A2520150503,2022,2.93
A2520150504,2022,2.92
A2520150505,2022,2.93
A2520150506,2022,3.19
A2620150601,2022,2.72
A2620150602,2022,2.92
A2620150603,2022,2.99
A2620150604,2022,3.31
A2620150605,2022,3.36
A2620150606,2022,3.61
A2720150701,2022,3.34
A2721150702,2022,3.48
A2721150703,2022,3.36
A2721150704,2022,3.88
A2721150705,2022,3.93
A2721150706,2022,4.37
A2821150801,2022,4.28
A2821150802,2022,4.50
A2821150803,2022,4.47
A2821150804,2022,4.57
A2821150805,2022,4.75
A2821150806,2022,4.87
A2918150104,2022,1.74
A2918150105,2022,1.67
A2918150106,2022,1.92
A3018150201,2022,1.78
A3018150202,2022,2.17
A3018150203,2022,2.12
A3019150204,2022,2.12
A3019150205,2022,2.15
A3019150206,2022,2.34
A3119150301,2022,2.42
A3119150302,2022,2.71
A3119150303,2022,2.73
A3120150304,2022,2.92
A3120150305,2022,2.95
A3120150306,2022,2.99
A3220150401,2022,3.23
A3220150402,2022,3.56
A3220150403,2022,3.45
A3220150404,2022,3.81
A3220150405,2022,3.57
A3220150406,2022,3.45
A3320150501,2022,3.43
A3320150502,2022,3.67
A3320150503,2022,3.93
A3320150504,2022,3.92
A3320150505,2022,4.13
A3320150506,2022,4.19
A3420150601,2022,4.71
A3420150602,2022,4.62
A3421150603,2022,4.50
A3421150604,2022,5.09
A3421150605,2022,5.44
A3421150606,2022,5.55
A3521150701,2022,5.45
A3521150702,2022,5.03
A3521150703,2022,6.08
A3521150704,2022,5.85
A3521150705,2022,5.70
A3521150706,2022,6.17
A3621150801,2022,6.45
A3621150802,2022,5.96
A3621150803,2022,6.95
A3621150804,2022,6.36
A3621150805,2022,5.90
A3621150806,2022,7.24
A3718150101,2022,3.31
A3718150102,2022,3.09
A3718150103,2022,3.11
A3718150105,2022,3.04
A3818150201,2022,3.14
A3818150202,2022,3.31
A3819150203,2022,3.62
A3819150205,2022,4.05
A3920150301,2022,4.13
A3920150302,2022,4.22
A3920150303,2022,4.42
A3920150305,2022,5.02
A4020150401,2022,5.35
A4020150402,2022,5.21
A4021150403,2022,5.52
A4021150404,2022,5.85
A4021150405,2022,5.57
A4118110105,2022,4.13
A4118110106,2022,4.04
A4118110107,2022,4.39
A4218110201,2022,4.46
A4218110202,2022,5.13
A4218110203,2022,5.29
A4218110204,2022,5.51
A4218110205,2022,5.25
A4218110206,2022,5.70
A4218110207,2022,5.68
A4218110208,2022,5.96
A4318110301,2022,6.18
A4319110302,2022,5.90
A4319110303,2022,5.99
A4319110304,2022,6.25
A4319110305,2022,6.43
A4319110306,2022,5.94
A4419110401,2022,6.61
A4419110402,2022,6.93
A4419110403,2022,6.44
A4419110404,2022,6.71
A4419110405,2022,6.85
A4419110406,2022,6.60
A4419110407,2022,7.35
A4419110408,2022,7.44
A4519110501,2022,7.67
A4519110502,2022,7.58
A4519110503,2022,7.38
A4520110504,2022,7.98
A4520110505,2022,7.29
A4520110506,2022,8.30
A4520110507,2022,7.80
A4520110508,2022,8.01
A4620110601,2022,7.79
A4620110602,2022,8.01
A4620110603,2022,8.39
A4620110604,2022,8.01
A4620110605,2022,8.85
A4620110606,2022,7.79
A4620110607,2022,9.00
A4620110608,2022,8.11
A4720110701,2022,8.79
A4720110702,2022,8.64
A4721110703,2022,9.58
A4721110704,2022,8.15
A4721110705,2022,8.56
A4721110706,2022,8.57
A4721110707,2022,8.65
A4721110708,2022,8.71
A4821110801,2022,9.08
A4821110802,2022,9.47
A4821110803,2022,9.37
A4821110804,2022,9.57
A4821110805,2022,9.24
A4821110806,2022,9.77
A4821110807,2022,10.05
A4821110808,2022,10.27
A4918110101,2022,12.37
A4918110102,2022,12.51
A4918110103,2022,12.97
A4918110104,2022,12.10
A5018110201,2022,12.12
A5018110202,2022,11.75
A5018110203,2022,13.37
A5018110204,2022,13.13
A5018110205,2022,12.46
A5018110206,2022,12.43
A5018110207,2022,13.73
A5019110208,2022,12.53
A5119110301,2022,12.80
A5119110302,2022,12.77
A5119110303,2022,13.94
A5119110305,2022,13.81
A5119110306,2022,14.41
A5119110307,2022,14.42
