date,product,customer,market,sold_quantity
2017-09-01,"AQ 5000 Series Ultron 8 5900X Desktop Processor","Atliq Exclusive",India,9
2017-09-01,"AQ MB Elite","Atliq Exclusive",India,3
2017-09-01,"AQ MB Elite","Atliq Exclusive",India,2
2017-09-01,"AQ MB Elite","Atliq Exclusive",India,2
2017-09-01,"AQ MB Elite","Atliq Exclusive",India,1
2017-09-01,"AQ MB Elite","Atliq Exclusive",India,1
2017-09-01,"AQ MB Elite","Atliq Exclusive",India,1
2017-09-01,"AQ MB Elite","Atliq Exclusive",India,1
2017-09-01,"AQ MB Elite","Atliq Exclusive",India,1
2017-09-01,"AQ MB Crossx","Atliq Exclusive",India,5
2017-09-01,"AQ MB Crossx","Atliq Exclusive",India,2
2017-09-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,281
2017-09-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,508
2017-09-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,431
2017-09-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,153
2017-09-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,197
2017-09-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,444
2017-09-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,468
2017-09-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,182
2017-09-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,546
2017-09-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,458
2017-09-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,540
2017-09-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,194
2017-09-01,"AQ Master wireless x1 Ms","Atliq Exclusive",India,409
2017-09-01,"AQ Master wireless x1 Ms","Atliq Exclusive",India,337
2017-09-01,"AQ Master wireless x1 Ms","Atliq Exclusive",India,422
2017-09-01,"AQ Master wireless x1 Ms","Atliq Exclusive",India,158
2017-09-01,"AQ Master wireless x1 Ms","Atliq Exclusive",India,372
2017-09-01,"AQ Master wireless x1 Ms","Atliq Exclusive",India,89
2017-09-01,"AQ Master wired x1","Atliq Exclusive",India,149
2017-09-01,"AQ Master wired x1","Atliq Exclusive",India,238
2017-09-01,"AQ Master wired x1","Atliq Exclusive",India,290
2017-09-01,"AQ Master wired x1","Atliq Exclusive",India,255
2017-09-01,"AQ Master wired x1","Atliq Exclusive",India,137
2017-09-01,"AQ Master wired x1","Atliq Exclusive",India,56
2017-09-01,"AQ Master wired x1","Atliq Exclusive",India,55
2017-09-01,"AQ Master wired x1","Atliq Exclusive",India,408
2017-09-01,"AQ Master wired x1","Atliq Exclusive",India,226
2017-09-01,"AQ Master wired x1","Atliq Exclusive",India,54
2017-09-01,"AQ Master wired x1","Atliq Exclusive",India,284
2017-09-01,"AQ Master wired x1","Atliq Exclusive",India,116
2017-09-01,"AQ Master wireless x1","Atliq Exclusive",India,424
2017-09-01,"AQ Master wireless x1","Atliq Exclusive",India,121
2017-09-01,"AQ Master wireless x1","Atliq Exclusive",India,174
2017-09-01,"AQ Master wireless x1","Atliq Exclusive",India,295
2017-09-01,"AQ Master wireless x1","Atliq Exclusive",India,112
2017-09-01,"AQ Master wireless x1","Atliq Exclusive",India,264
2017-09-01,"AQ Master wireless x1","Atliq Exclusive",India,301
2017-09-01,"AQ Master wireless x1","Atliq Exclusive",India,98
2017-09-01,"AQ Master wireless x1","Atliq Exclusive",India,408
2017-09-01,"AQ Master wireless x1","Atliq Exclusive",India,223
2017-09-01,"AQ Master wireless x1","Atliq Exclusive",India,126
2017-09-01,"AQ Master wireless x1","Atliq Exclusive",India,230
2017-09-01,"AQ Aspiron","Atliq Exclusive",India,9
2017-09-01,"AQ Aspiron","Atliq Exclusive",India,12
2017-09-01,"AQ Aspiron","Atliq Exclusive",India,6
2017-09-01,"AQ Aspiron","Atliq Exclusive",India,7
2017-09-01,"AQ Aspiron","Atliq Exclusive",India,11
2017-09-01,"AQ Aspiron","Atliq Exclusive",India,9
2017-09-01,"AQ Aspiron","Atliq Exclusive",India,4
2017-09-01,"AQ Aspiron","Atliq Exclusive",India,7
2017-09-01,"AQ Aspiron","Atliq Exclusive",India,4
2017-09-01,"AQ Aspiron","Atliq Exclusive",India,6
2017-09-01,"AQ Aspiron","Atliq Exclusive",India,6
2017-09-01,"AQ Aspiron","Atliq Exclusive",India,2
2017-09-01,"AQ Aspiron","Atliq Exclusive",India,10
2017-09-01,"AQ Aspiron","Atliq Exclusive",India,6
2017-09-01,"AQ Digit","Atliq Exclusive",India,5
2017-09-01,"AQ Digit","Atliq Exclusive",India,5
2017-09-01,"AQ Digit","Atliq Exclusive",India,5
2017-09-01,"AQ Digit","Atliq Exclusive",India,11
2017-09-01,"AQ Digit","Atliq Exclusive",India,4
2017-09-01,"AQ Digit","Atliq Exclusive",India,4
2017-09-01,"AQ Digit","Atliq Exclusive",India,5
2017-09-01,"AQ Digit","Atliq Exclusive",India,8
2017-09-01,"AQ Digit","Atliq Exclusive",India,11
2017-09-01,"AQ Digit","Atliq Exclusive",India,7
2017-09-01,"AQ BZ 101","Atliq Exclusive",India,5
2017-09-01,"AQ BZ 101","Atliq Exclusive",India,6
2017-09-01,"AQ BZ 101","Atliq Exclusive",India,8
2017-09-01,"AQ BZ 101","Atliq Exclusive",India,5
2017-09-01,"AQ BZ 101","Atliq Exclusive",India,9
2017-09-01,"AQ BZ 101","Atliq Exclusive",India,7
2017-09-01,"AQ BZ 101","Atliq Exclusive",India,6
2017-09-01,"AQ BZ 101","Atliq Exclusive",India,7
2017-09-01,"AQ BZ Compact","Atliq Exclusive",India,4
2017-09-01,"AQ BZ Compact","Atliq Exclusive",India,3
2017-09-01,"AQ BZ Compact","Atliq Exclusive",India,9
2017-09-01,"AQ BZ Compact","Atliq Exclusive",India,7
2017-09-01,"AQ BZ Compact","Atliq Exclusive",India,5
2017-09-01,"AQ BZ Compact","Atliq Exclusive",India,8
2017-09-01,"AQ BZ Compact","Atliq Exclusive",India,5
2017-09-01,"AQ BZ Compact","Atliq Exclusive",India,6
2017-09-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-09-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-09-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-09-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-09-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-09-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-09-01,"AQ Gamer 2","Atliq Exclusive",India,1
2017-09-01,"AQ Digit SSD","Atliq Exclusive",India,285
2017-09-01,"AQ Digit SSD","Atliq Exclusive",India,210
2017-09-01,"AQ Digit SSD","Atliq Exclusive",India,296
2017-09-01,"AQ Digit SSD","Atliq Exclusive",India,432
2017-09-01,"AQ Wi Power Dx1","Atliq Exclusive",India,953
2017-09-01,"AQ Wi Power Dx1","Atliq Exclusive",India,1005
2017-10-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,54
2017-10-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,37
2017-10-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,15
2017-10-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,77
2017-10-01,"AQ Mforce Gen X","Atliq Exclusive",India,69
2017-10-01,"AQ Mforce Gen X","Atliq Exclusive",India,58
2017-10-01,"AQ Mforce Gen X","Atliq Exclusive",India,109
2017-10-01,"AQ Mforce Gen X","Atliq Exclusive",India,82
2017-10-01,"AQ Mforce Gen X","Atliq Exclusive",India,101
2017-10-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,11
2017-10-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,61
2017-10-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,16
2017-10-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,81
2017-10-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,29
2017-10-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,43
2017-10-01,"AQ 5000 Series Ultron 8 5900X Desktop Processor","Atliq Exclusive",India,46
2017-10-01,"AQ MB Elite","Atliq Exclusive",India,1
2017-10-01,"AQ MB Elite","Atliq Exclusive",India,4
2017-10-01,"AQ MB Elite","Atliq Exclusive",India,4
2017-10-01,"AQ MB Elite","Atliq Exclusive",India,2
2017-10-01,"AQ MB Crossx","Atliq Exclusive",India,6
2017-10-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,784
2017-10-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,152
2017-10-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,427
2017-10-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,765
2017-10-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,394
2017-10-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,757
2017-10-01,"AQ Master wireless x1 Ms","Atliq Exclusive",India,378
2017-10-01,"AQ Master wireless x1 Ms","Atliq Exclusive",India,132
2017-10-01,"AQ Master wireless x1 Ms","Atliq Exclusive",India,571
2017-10-01,"AQ Master wired x1","Atliq Exclusive",India,194
2017-10-01,"AQ Master wired x1","Atliq Exclusive",India,563
2017-10-01,"AQ Master wired x1","Atliq Exclusive",India,293
2017-10-01,"AQ Master wired x1","Atliq Exclusive",India,244
2017-10-01,"AQ Master wired x1","Atliq Exclusive",India,480
2017-10-01,"AQ Master wired x1","Atliq Exclusive",India,133
2017-10-01,"AQ Master wireless x1","Atliq Exclusive",India,447
2017-10-01,"AQ Master wireless x1","Atliq Exclusive",India,125
2017-10-01,"AQ Master wireless x1","Atliq Exclusive",India,308
2017-10-01,"AQ Master wireless x1","Atliq Exclusive",India,275
2017-10-01,"AQ Master wireless x1","Atliq Exclusive",India,228
2017-10-01,"AQ Master wireless x1","Atliq Exclusive",India,564
2017-10-01,"AQ Aspiron","Atliq Exclusive",India,9
2017-10-01,"AQ Aspiron","Atliq Exclusive",India,11
2017-10-01,"AQ Aspiron","Atliq Exclusive",India,6
2017-10-01,"AQ Aspiron","Atliq Exclusive",India,13
2017-10-01,"AQ Aspiron","Atliq Exclusive",India,6
2017-10-01,"AQ Aspiron","Atliq Exclusive",India,16
2017-10-01,"AQ Aspiron","Atliq Exclusive",India,11
2017-10-01,"AQ Digit","Atliq Exclusive",India,7
2017-10-01,"AQ Digit","Atliq Exclusive",India,8
2017-10-01,"AQ Digit","Atliq Exclusive",India,3
2017-10-01,"AQ Digit","Atliq Exclusive",India,9
2017-10-01,"AQ Digit","Atliq Exclusive",India,15
2017-10-01,"AQ BZ 101","Atliq Exclusive",India,2
2017-10-01,"AQ BZ 101","Atliq Exclusive",India,5
2017-10-01,"AQ BZ 101","Atliq Exclusive",India,9
2017-10-01,"AQ BZ 101","Atliq Exclusive",India,4
2017-10-01,"AQ BZ Compact","Atliq Exclusive",India,6
2017-10-01,"AQ BZ Compact","Atliq Exclusive",India,7
2017-10-01,"AQ BZ Compact","Atliq Exclusive",India,5
2017-10-01,"AQ BZ Compact","Atliq Exclusive",India,12
2017-10-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-10-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-10-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-10-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-10-01,"AQ Gamer 2","Atliq Exclusive",India,1
2017-10-01,"AQ Gamer 2","Atliq Exclusive",India,1
2017-10-01,"AQ Gamer 2","Atliq Exclusive",India,1
2017-10-01,"AQ Digit SSD","Atliq Exclusive",India,265
2017-10-01,"AQ Digit SSD","Atliq Exclusive",India,697
2017-10-01,"AQ Wi Power Dx1","Atliq Exclusive",India,557
2017-11-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,30
2017-11-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,18
2017-11-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,54
2017-11-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,114
2017-11-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,82
2017-11-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,16
2017-11-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,79
2017-11-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,124
2017-11-01,"AQ Mforce Gen X","Atliq Exclusive",India,26
2017-11-01,"AQ Mforce Gen X","Atliq Exclusive",India,104
2017-11-01,"AQ Mforce Gen X","Atliq Exclusive",India,63
2017-11-01,"AQ Mforce Gen X","Atliq Exclusive",India,18
2017-11-01,"AQ Mforce Gen X","Atliq Exclusive",India,134
2017-11-01,"AQ Mforce Gen X","Atliq Exclusive",India,39
2017-11-01,"AQ Mforce Gen X","Atliq Exclusive",India,51
2017-11-01,"AQ Mforce Gen X","Atliq Exclusive",India,130
2017-11-01,"AQ Mforce Gen X","Atliq Exclusive",India,37
2017-11-01,"AQ Mforce Gen X","Atliq Exclusive",India,131
2017-11-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,90
2017-11-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,90
2017-11-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,20
2017-11-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,83
2017-11-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,104
2017-11-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,28
2017-11-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,22
2017-11-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,69
2017-11-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,102
2017-11-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,31
2017-11-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,61
2017-11-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,18
2017-11-01,"AQ 5000 Series Ultron 8 5900X Desktop Processor","Atliq Exclusive",India,68
2017-11-01,"AQ 5000 Series Ultron 8 5900X Desktop Processor","Atliq Exclusive",India,60
2017-11-01,"AQ MB Elite","Atliq Exclusive",India,3
2017-11-01,"AQ MB Elite","Atliq Exclusive",India,3
2017-11-01,"AQ MB Elite","Atliq Exclusive",India,2
2017-11-01,"AQ MB Elite","Atliq Exclusive",India,6
2017-11-01,"AQ MB Elite","Atliq Exclusive",India,7
2017-11-01,"AQ MB Elite","Atliq Exclusive",India,1
2017-11-01,"AQ MB Elite","Atliq Exclusive",India,2
2017-11-01,"AQ MB Elite","Atliq Exclusive",India,3
2017-11-01,"AQ MB Crossx","Atliq Exclusive",India,4
2017-11-01,"AQ MB Crossx","Atliq Exclusive",India,1
2017-11-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,541
2017-11-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,492
2017-11-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,759
2017-11-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,201
2017-11-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,1015
2017-11-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,585
2017-11-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,299
2017-11-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,993
2017-11-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,974
2017-11-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,874
2017-11-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,660
2017-11-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,312
2017-11-01,"AQ Master wireless x1 Ms","Atliq Exclusive",India,129
2017-11-01,"AQ Master wireless x1 Ms","Atliq Exclusive",India,685
2017-11-01,"AQ Master wireless x1 Ms","Atliq Exclusive",India,980
2017-11-01,"AQ Master wireless x1 Ms","Atliq Exclusive",India,964
2017-11-01,"AQ Master wireless x1 Ms","Atliq Exclusive",India,113
2017-11-01,"AQ Master wireless x1 Ms","Atliq Exclusive",India,234
2017-11-01,"AQ Master wired x1","Atliq Exclusive",India,329
2017-11-01,"AQ Master wired x1","Atliq Exclusive",India,541
2017-11-01,"AQ Master wired x1","Atliq Exclusive",India,413
2017-11-01,"AQ Master wired x1","Atliq Exclusive",India,536
2017-11-01,"AQ Master wired x1","Atliq Exclusive",India,431
2017-11-01,"AQ Master wired x1","Atliq Exclusive",India,514
2017-11-01,"AQ Master wired x1","Atliq Exclusive",India,373
2017-11-01,"AQ Master wired x1","Atliq Exclusive",India,613
2017-11-01,"AQ Master wired x1","Atliq Exclusive",India,233
2017-11-01,"AQ Master wired x1","Atliq Exclusive",India,239
2017-11-01,"AQ Master wired x1","Atliq Exclusive",India,81
2017-11-01,"AQ Master wired x1","Atliq Exclusive",India,93
2017-11-01,"AQ Master wireless x1","Atliq Exclusive",India,319
2017-11-01,"AQ Master wireless x1","Atliq Exclusive",India,305
2017-11-01,"AQ Master wireless x1","Atliq Exclusive",India,227
2017-11-01,"AQ Master wireless x1","Atliq Exclusive",India,110
2017-11-01,"AQ Master wireless x1","Atliq Exclusive",India,192
2017-11-01,"AQ Master wireless x1","Atliq Exclusive",India,690
2017-11-01,"AQ Master wireless x1","Atliq Exclusive",India,652
2017-11-01,"AQ Master wireless x1","Atliq Exclusive",India,147
2017-11-01,"AQ Master wireless x1","Atliq Exclusive",India,733
2017-11-01,"AQ Master wireless x1","Atliq Exclusive",India,341
2017-11-01,"AQ Master wireless x1","Atliq Exclusive",India,355
2017-11-01,"AQ Master wireless x1","Atliq Exclusive",India,631
2017-11-01,"AQ Aspiron","Atliq Exclusive",India,14
2017-11-01,"AQ Aspiron","Atliq Exclusive",India,19
2017-11-01,"AQ Aspiron","Atliq Exclusive",India,5
2017-11-01,"AQ Aspiron","Atliq Exclusive",India,19
2017-11-01,"AQ Aspiron","Atliq Exclusive",India,19
2017-11-01,"AQ Aspiron","Atliq Exclusive",India,14
2017-11-01,"AQ Aspiron","Atliq Exclusive",India,10
2017-11-01,"AQ Aspiron","Atliq Exclusive",India,14
2017-11-01,"AQ Aspiron","Atliq Exclusive",India,8
2017-11-01,"AQ Aspiron","Atliq Exclusive",India,15
2017-11-01,"AQ Aspiron","Atliq Exclusive",India,16
2017-11-01,"AQ Aspiron","Atliq Exclusive",India,10
2017-11-01,"AQ Aspiron","Atliq Exclusive",India,6
2017-11-01,"AQ Aspiron","Atliq Exclusive",India,6
2017-11-01,"AQ Digit","Atliq Exclusive",India,6
2017-11-01,"AQ Digit","Atliq Exclusive",India,6
2017-11-01,"AQ Digit","Atliq Exclusive",India,13
2017-11-01,"AQ Digit","Atliq Exclusive",India,14
2017-11-01,"AQ Digit","Atliq Exclusive",India,18
2017-11-01,"AQ Digit","Atliq Exclusive",India,5
2017-11-01,"AQ Digit","Atliq Exclusive",India,13
2017-11-01,"AQ Digit","Atliq Exclusive",India,10
2017-11-01,"AQ Digit","Atliq Exclusive",India,11
2017-11-01,"AQ Digit","Atliq Exclusive",India,11
2017-11-01,"AQ BZ 101","Atliq Exclusive",India,12
2017-11-01,"AQ BZ 101","Atliq Exclusive",India,13
2017-11-01,"AQ BZ 101","Atliq Exclusive",India,16
2017-11-01,"AQ BZ 101","Atliq Exclusive",India,13
2017-11-01,"AQ BZ 101","Atliq Exclusive",India,4
2017-11-01,"AQ BZ 101","Atliq Exclusive",India,12
2017-11-01,"AQ BZ 101","Atliq Exclusive",India,9
2017-11-01,"AQ BZ 101","Atliq Exclusive",India,10
2017-11-01,"AQ BZ Compact","Atliq Exclusive",India,5
2017-11-01,"AQ BZ Compact","Atliq Exclusive",India,10
2017-11-01,"AQ BZ Compact","Atliq Exclusive",India,7
2017-11-01,"AQ BZ Compact","Atliq Exclusive",India,14
2017-11-01,"AQ BZ Compact","Atliq Exclusive",India,6
2017-11-01,"AQ BZ Compact","Atliq Exclusive",India,4
2017-11-01,"AQ BZ Compact","Atliq Exclusive",India,11
2017-11-01,"AQ BZ Compact","Atliq Exclusive",India,17
2017-11-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 1","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 2","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 2","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 2","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 2","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 2","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 2","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 2","Atliq Exclusive",India,1
2017-11-01,"AQ Gamer 2","Atliq Exclusive",India,1
2017-11-01,"AQ Digit SSD","Atliq Exclusive",India,692
2017-11-01,"AQ Digit SSD","Atliq Exclusive",India,473
2017-11-01,"AQ Digit SSD","Atliq Exclusive",India,399
2017-11-01,"AQ Digit SSD","Atliq Exclusive",India,713
2017-11-01,"AQ Wi Power Dx1","Atliq Exclusive",India,569
2017-11-01,"AQ Wi Power Dx1","Atliq Exclusive",India,435
2017-12-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,43
2017-12-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,107
2017-12-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,122
2017-12-01,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Atliq Exclusive",India,110
2017-12-01,"AQ Mforce Gen X","Atliq Exclusive",India,33
2017-12-01,"AQ Mforce Gen X","Atliq Exclusive",India,131
2017-12-01,"AQ Mforce Gen X","Atliq Exclusive",India,57
2017-12-01,"AQ Mforce Gen X","Atliq Exclusive",India,26
2017-12-01,"AQ Mforce Gen X","Atliq Exclusive",India,24
2017-12-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,46
2017-12-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,52
2017-12-01,"AQ 5000 Series Electron 9 5900X Desktop Processor","Atliq Exclusive",India,90
2017-12-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,23
2017-12-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,38
2017-12-01,"AQ 5000 Series Electron 8 5900X Desktop Processor","Atliq Exclusive",India,99
2017-12-01,"AQ 5000 Series Ultron 8 5900X Desktop Processor","Atliq Exclusive",India,45
2017-12-01,"AQ MB Elite","Atliq Exclusive",India,9
2017-12-01,"AQ MB Elite","Atliq Exclusive",India,4
2017-12-01,"AQ MB Elite","Atliq Exclusive",India,7
2017-12-01,"AQ MB Elite","Atliq Exclusive",India,3
2017-12-01,"AQ MB Crossx","Atliq Exclusive",India,1
2017-12-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,545
2017-12-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,769
2017-12-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,495
2017-12-01,"AQ Master wired x1 Ms","Atliq Exclusive",India,113
